MAGOHB,"mago homolog B, exon junction complex subunit",down,NA
LGALS3BP,galectin 3 binding protein,up,NA
PLCL1,phospholipase C like 1 (inactive),down,NA
IFITM3,interferon induced transmembrane protein 3,up,NA
LY6E,lymphocyte antigen 6 family member E,up,NA
P2RY10,P2Y receptor family member 10,down,NA
ZNF367,zinc finger protein 367,down,NA
P2RY12,purinergic receptor P2Y12,down,NA
MFAP3L,microfibril associated protein 3 like,down,NA
SEPTIN7,septin 7,down,NA
RPA1,replication protein A1,down,NA
CDYL,chromodomain Y like,down,NA
UTRN,utrophin,down,NA
BRWD3,bromodomain and WD repeat domain containing 3,down,NA
RGS18,regulator of G protein signaling 18,down,NA
B2M,beta-2-microglobulin,down,NA
IFITM2,interferon induced transmembrane protein 2,up,NA
IFITM1,interferon induced transmembrane protein 1,up,NA
NXT2,nuclear transport factor 2 like export factor 2,down,NA
CXCL5,C-X-C motif chemokine ligand 5,down,NA
HMGB1,high mobility group box 1,down,NA
CAVIN2,caveolae associated protein 2,down,NA
C2orf88,chromosome 2 open reading frame 88,down,NA
PCNP,PEST proteolytic signal containing nuclear protein,down,NA
STAU2,staufen double-stranded RNA binding protein 2,down,NA
CTNND2,catenin delta 2,down,NA
IFI27,interferon alpha inducible protein 27,up,NA
TSPAN4,tetraspanin 4,up,NA
AIDA,"axin interactor, dorsalization associated",down,NA
CA2,carbonic anhydrase 2,down,NA
TUBB1,tubulin beta 1 class VI,down,NA
ZNF438,zinc finger protein 438,down,NA
TRAPPC3L,trafficking protein particle complex 3 like,down,NA
MAP3K7CL,MAP3K7 C-terminal like,down,NA
HAT1,histone acetyltransferase 1,down,NA
JAK3,Janus kinase 3,up,NA
CTCF,CCCTC-binding factor,down,NA
SHOC2,SHOC2 leucine rich repeat scaffold protein,down,NA
TNS1,tensin 1,down,NA
PRIMPOL,primase and DNA directed polymerase,down,NA
EFHC2,EF-hand domain containing 2,down,NA
WASHC3,WASH complex subunit 3,down,NA
ZNF347,zinc finger protein 347,down,NA
SMIM1,small integral membrane protein 1 (Vel blood group),up,NA
AZIN1,antizyme inhibitor 1,down,NA
DMAC2L,distal membrane arm assembly complex 2 like,down,NA
CMPK2,cytidine/uridine monophosphate kinase 2,up,NA
AVPR1A,arginine vasopressin receptor 1A,down,NA
PCMTD1,protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1,down,NA
HBE1,hemoglobin subunit epsilon 1,up,NA
MTRNR2L8,MT-RNR2 like 8,down,NA
CLN6,CLN6 transmembrane ER protein,up,NA
NDRG3,NDRG family member 3,up,NA
VWA8,von Willebrand factor A domain containing 8,down,NA
CEMIP,cell migration inducing hyaluronidase 1,down,NA
PRKAR1A,protein kinase cAMP-dependent type I regulatory subunit alpha,down,NA
RNF212B,ring finger protein 212B,down,NA
CA5A,carbonic anhydrase 5A,down,NA
MLH3,mutL homolog 3,down,NA
MBNL1,muscleblind like splicing regulator 1,down,NA
ZNF117,zinc finger protein 117,down,NA
SH2D1A,SH2 domain containing 1A,down,NA
ZNRF2,zinc and ring finger 2,down,NA
AK3,adenylate kinase 3,down,NA
PRKAA1,protein kinase AMP-activated catalytic subunit alpha 1,down,NA
XYLT2,xylosyltransferase 2,up,NA
AGBL3,ATP/GTP binding protein like 3,down,NA
POC1B,POC1 centriolar protein B,down,NA
TAB2,TGF-beta activated kinase 1 (MAP3K7) binding protein 2,down,NA
PHACTR3,phosphatase and actin regulator 3,down,NA
IFI6,interferon alpha inducible protein 6,up,NA
MTRNR2L12,MT-RNR2 like 12,down,NA
WWP1,WW domain containing E3 ubiquitin protein ligase 1,down,NA
STRBP,spermatid perinuclear RNA binding protein,down,NA
GPD1L,glycerol-3-phosphate dehydrogenase 1 like,down,NA
CAAP1,caspase activity and apoptosis inhibitor 1,down,NA
ZNF496,zinc finger protein 496,up,NA
LEPR,leptin receptor,down,NA
SNX18,sorting nexin 18,down,NA
DAPP1,dual adaptor of phosphotyrosine and 3-phosphoinositides 1,down,NA
ZC3H12B,zinc finger CCCH-type containing 12B,down,NA
NOMO1,NODAL modulator 1,down,NA
DENND11,DENN domain containing 11,down,NA
FTO,FTO alpha-ketoglutarate dependent dioxygenase,down,NA
STK26,serine/threonine kinase 26,down,NA
HIPK3,homeodomain interacting protein kinase 3,down,NA
COL4A2,collagen type IV alpha 2 chain,down,NA
TRAM1,translocation associated membrane protein 1,down,NA
RSAD2,radical S-adenosyl methionine domain containing 2,up,NA
ENKUR,"enkurin, TRPC channel interacting protein",down,NA
SYNPO,synaptopodin,down,NA
VRK2,VRK serine/threonine kinase 2,down,NA
CABP5,calcium binding protein 5,down,NA
MECOM,MDS1 and EVI1 complex locus,down,NA
NPTN,neuroplastin,down,NA
ADAM12,ADAM metallopeptidase domain 12,down,NA
ACKR2,atypical chemokine receptor 2,down,NA
ZNF385D,zinc finger protein 385D,down,NA
SLMAP,sarcolemma associated protein,down,NA
TSPAN18,tetraspanin 18,down,NA
COL4A1,collagen type IV alpha 1 chain,down,NA
LPP,LIM domain containing preferred translocation partner in lipoma,down,NA
MAPK10,mitogen-activated protein kinase 10,down,NA
ABRAXAS1,"abraxas 1, BRCA1 A complex subunit",down,NA
TMEM108,transmembrane protein 108,down,NA
COL25A1,collagen type XXV alpha 1 chain,down,NA
GAB3,GRB2 associated binding protein 3,up,NA
NDUFA5,NADH:ubiquinone oxidoreductase subunit A5,down,NA
UNK,unk zinc finger,down,NA
FAM241A,family with sequence similarity 241 member A,down,NA
ARMC3,armadillo repeat containing 3,down,NA
FAM83D,family with sequence similarity 83 member D,down,NA
ACADM,acyl-CoA dehydrogenase medium chain,down,NA
ZFAND1,zinc finger AN1-type containing 1,down,NA
DPYD,dihydropyrimidine dehydrogenase,down,NA
NINJ1,ninjurin 1,up,NA
HERC6,HECT and RLD domain containing E3 ubiquitin protein ligase family member 6,up,NA
RAB4A,"RAB4A, member RAS oncogene family",down,NA
COA1,cytochrome c oxidase assembly factor 1 homolog,down,NA
MBD3,methyl-CpG binding domain protein 3,up,NA
ANKRD28,ankyrin repeat domain 28,down,NA
MSRB2,methionine sulfoxide reductase B2,up,NA
AUP1,AUP1 lipid droplet regulating VLDL assembly factor,up,NA
DYTN,dystrotelin,down,NA
CD226,CD226 molecule,down,NA
NCOA2,nuclear receptor coactivator 2,down,NA
YTHDF3,YTH N6-methyladenosine RNA binding protein 3,down,NA
NEDD1,NEDD1 gamma-tubulin ring complex targeting factor,down,NA
BICD2,BICD cargo adaptor 2,down,NA
AL135905.2,novel protein,down,NA
PCGF5,polycomb group ring finger 5,down,NA
ATP13A4,ATPase 13A4,down,NA
GCKR,glucokinase regulator,up,NA
NCBP2L,nuclear cap binding protein subunit 2 like,down,NA
EIF5A,eukaryotic translation initiation factor 5A,up,NA
HSD17B3,hydroxysteroid 17-beta dehydrogenase 3,down,NA
LY6G6F-LY6G6D,LY6G6F-LY6G6D readthrough,up,NA
MAP1LC3B,microtubule associated protein 1 light chain 3 beta,down,NA
TC2N,"tandem C2 domains, nuclear",down,NA
FAM107B,family with sequence similarity 107 member B,down,NA
C4orf48,chromosome 4 open reading frame 48,up,NA
F2R,coagulation factor II thrombin receptor,down,NA
FDXR,ferredoxin reductase,up,NA
MYLK,myosin light chain kinase,down,NA
ITGB3BP,integrin subunit beta 3 binding protein,down,NA
ARL2,ADP ribosylation factor like GTPase 2,up,NA
ANKDD1B,ankyrin repeat and death domain containing 1B,down,NA
WLS,Wnt ligand secretion mediator,down,NA
P2RX4,purinergic receptor P2X 4,up,NA
DR1,down-regulator of transcription 1,down,NA
SRSF8,serine and arginine rich splicing factor 8,down,NA
CCDC159,coiled-coil domain containing 159,up,NA
HIPK2,homeodomain interacting protein kinase 2,down,NA
CDHR1,cadherin related family member 1,up,NA
PIK3IP1,phosphoinositide-3-kinase interacting protein 1,up,NA
KLF9,Kruppel like factor 9,down,NA
ALDH1A2,aldehyde dehydrogenase 1 family member A2,down,NA
BANK1,B cell scaffold protein with ankyrin repeats 1,down,NA
CYCS,"cytochrome c, somatic",down,NA
HIST1H2BF,histone cluster 1 H2B family member f,down,NA
PPIB,peptidylprolyl isomerase B,up,NA
DNAH12,dynein axonemal heavy chain 12,down,NA
RNF213,ring finger protein 213,up,NA
FLYWCH1,FLYWCH-type zinc finger 1,up,NA
TSSC4,tumor suppressing subtransferable candidate 4,up,NA
SRP9,signal recognition particle 9,down,NA
C8orf82,chromosome 8 open reading frame 82,up,NA
MTPN,myotrophin,down,NA
ADAT2,adenosine deaminase tRNA specific 2,down,NA
PAIP2,poly(A) binding protein interacting protein 2,down,NA
TAPBP,TAP binding protein,up,NA
LRRCC1,leucine rich repeat and coiled-coil centrosomal protein 1,down,NA
SEC14L2,SEC14 like lipid binding 2,up,NA
WDR11,WD repeat domain 11,down,NA
TNFSF4,TNF superfamily member 4,down,NA
PIK3R1,phosphoinositide-3-kinase regulatory subunit 1,down,NA
ZEB2,zinc finger E-box binding homeobox 2,down,NA
YPEL5,yippee like 5,down,NA
ZFYVE21,zinc finger FYVE-type containing 21,down,NA
LRRC6,leucine rich repeat containing 6,down,NA
ATP5F1D,ATP synthase F1 subunit delta,up,NA
SFI1,SFI1 centrin binding protein,up,NA
SEC31A,"SEC31 homolog A, COPII coat complex component",down,NA
GLRX3,glutaredoxin 3,down,NA
LOXHD1,lipoxygenase homology domains 1,down,NA
LYSMD3,LysM domain containing 3,down,NA
PTOV1,PTOV1 extended AT-hook containing adaptor protein,up,NA
SOCS5,suppressor of cytokine signaling 5,down,NA
IMPA1,inositol monophosphatase 1,down,NA
SLC18A3,solute carrier family 18 member A3,down,NA
ERC2,ELKS/RAB6-interacting/CAST family member 2,down,NA
PTPRD,protein tyrosine phosphatase receptor type D,down,NA
HLA-DRA,"major histocompatibility complex, class II, DR alpha",down,NA
ST8SIA6,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 6",down,NA
PDE5A,phosphodiesterase 5A,down,NA
GPR88,G protein-coupled receptor 88,down,NA
FYB1,FYN binding protein 1,down,NA
TP53I3,tumor protein p53 inducible protein 3,up,NA
TESK1,testis associated actin remodelling kinase 1,up,NA
TM6SF1,transmembrane 6 superfamily member 1,down,NA
CTSD,cathepsin D,up,NA
DMPK,DM1 protein kinase,up,NA
FAM174C,family with sequence similarity 174 member C,up,NA
MBP,myelin basic protein,down,NA
TYMP,thymidine phosphorylase,up,NA
HEMGN,hemogen,down,NA
DLK1,delta like non-canonical Notch ligand 1,down,NA
KRTAP29-1,keratin associated like protein 29-1,down,NA
STAT3,signal transducer and activator of transcription 3,down,NA
CPAMD8,C3 and PZP like alpha-2-macroglobulin domain containing 8,down,NA
LPAR2,lysophosphatidic acid receptor 2,up,NA
GTF2F1,general transcription factor IIF subunit 1,up,NA
FLNB,filamin B,down,NA
LAT2,linker for activation of T cells family member 2,up,NA
P3H1,prolyl 3-hydroxylase 1,up,NA
AP5M1,adaptor related protein complex 5 subunit mu 1,down,NA
MTRNR2L10,MT-RNR2 like 10,down,NA
ZNF664,zinc finger protein 664,down,NA
LIG4,DNA ligase 4,down,NA
CCDC50,coiled-coil domain containing 50,down,NA
WDR44,WD repeat domain 44,down,NA
BORCS6,BLOC-1 related complex subunit 6,up,NA
ANKRD55,ankyrin repeat domain 55,down,NA
TMOD3,tropomodulin 3,down,NA
SLC25A11,solute carrier family 25 member 11,up,NA
MS4A7,membrane spanning 4-domains A7,down,NA
RBCK1,RANBP2-type and C3HC4-type zinc finger containing 1,up,NA
NDUFS8,NADH:ubiquinone oxidoreductase core subunit S8,up,NA
SERPINH1,serpin family H member 1,up,NA
RNF38,ring finger protein 38,down,NA
ALDH1A1,aldehyde dehydrogenase 1 family member A1,down,NA
ZNF461,zinc finger protein 461,down,NA
PTDSS2,phosphatidylserine synthase 2,up,NA
KAT6A,lysine acetyltransferase 6A,down,NA
AFAP1,actin filament associated protein 1,down,NA
CHMP1B,charged multivesicular body protein 1B,down,NA
KAT2B,lysine acetyltransferase 2B,down,NA
SAV1,salvador family WW domain containing protein 1,down,NA
ZNF25,zinc finger protein 25,down,NA
ENTHD1,ENTH domain containing 1,down,NA
BEND2,BEN domain containing 2,down,NA
TMEM9B,TMEM9 domain family member B,down,NA
POLR3G,RNA polymerase III subunit G,down,NA
ERV3-1,"endogenous retrovirus group 3 member 1, envelope",down,NA
SMARCE1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1",down,NA
DPM2,"dolichyl-phosphate mannosyltransferase subunit 2, regulatory",up,NA
RYBP,RING1 and YY1 binding protein,down,NA
ARL5A,ADP ribosylation factor like GTPase 5A,down,NA
HCFC1R1,host cell factor C1 regulator 1,up,NA
FUT8,fucosyltransferase 8,up,NA
SRSF9,serine and arginine rich splicing factor 9,up,NA
ATP6V1B2,ATPase H+ transporting V1 subunit B2,up,NA
CHMP3,charged multivesicular body protein 3,down,NA
RRAS,RAS related,up,NA
MMP17,matrix metallopeptidase 17,up,NA
MRPL37,mitochondrial ribosomal protein L37,up,NA
GOLT1B,golgi transport 1B,down,NA
NBR1,NBR1 autophagy cargo receptor,down,NA
AIP,aryl hydrocarbon receptor interacting protein,up,NA
ABCA7,ATP binding cassette subfamily A member 7,up,NA
SMYD3,SET and MYND domain containing 3,down,NA
LPIN1,lipin 1,up,NA
SDCBP,syndecan binding protein,down,NA
PBX1,PBX homeobox 1,down,NA
GPR55,G protein-coupled receptor 55,down,NA
ABHD12,abhydrolase domain containing 12,up,NA
QKI,"QKI, KH domain containing RNA binding",down,NA
ARL6IP5,ADP ribosylation factor like GTPase 6 interacting protein 5,down,NA
PTBP3,polypyrimidine tract binding protein 3,down,NA
PCYT2,"phosphate cytidylyltransferase 2, ethanolamine",up,NA
SLC25A1,solute carrier family 25 member 1,up,NA
AP1B1,adaptor related protein complex 1 subunit beta 1,up,NA
DSTYK,dual serine/threonine and tyrosine protein kinase,down,NA
DNM3,dynamin 3,down,NA
METRN,"meteorin, glial cell differentiation regulator",up,NA
MYEOV,myeloma overexpressed,down,NA
MIIP,migration and invasion inhibitory protein,up,NA
MFSD10,major facilitator superfamily domain containing 10,up,NA
RPS19BP1,ribosomal protein S19 binding protein 1,up,NA
SH3BGRL,SH3 domain binding glutamate rich protein like,down,NA
IVNS1ABP,influenza virus NS1A binding protein,down,NA
ARFGAP2,ADP ribosylation factor GTPase activating protein 2,up,NA
TFPI2,tissue factor pathway inhibitor 2,down,NA
CKAP2,cytoskeleton associated protein 2,down,NA
LRBA,LPS responsive beige-like anchor protein,down,NA
ANKRD33B,ankyrin repeat domain 33B,down,NA
PMF1,polyamine modulated factor 1,up,NA
ADGRE1,adhesion G protein-coupled receptor E1,down,NA
CEP128,centrosomal protein 128,down,NA
SNX6,sorting nexin 6,down,NA
FSTL4,follistatin like 4,down,NA
ZFR,zinc finger RNA binding protein,down,NA
TAS2R14,taste 2 receptor member 14,down,NA
TTC33,tetratricopeptide repeat domain 33,down,NA
FADS2,fatty acid desaturase 2,up,NA
PPP2R2D,protein phosphatase 2 regulatory subunit Bdelta,down,NA
CDCA7L,cell division cycle associated 7 like,up,NA
ALKBH3,"alkB homolog 3, alpha-ketoglutaratedependent dioxygenase",up,NA
TTC30A,tetratricopeptide repeat domain 30A,down,NA
PF4V1,platelet factor 4 variant 1,down,NA
PGPEP1,pyroglutamyl-peptidase I,up,NA
MAX,MYC associated factor X,down,NA
ARHGAP5,Rho GTPase activating protein 5,down,NA
NCOA7,nuclear receptor coactivator 7,down,NA
SLC4A8,solute carrier family 4 member 8,down,NA
MCTP1,multiple C2 and transmembrane domain containing 1,down,NA
PURA,purine rich element binding protein A,down,NA
RNF6,ring finger protein 6,down,NA
KRT5,keratin 5,down,NA
RFC2,replication factor C subunit 2,up,NA
TGFB2,transforming growth factor beta 2,down,NA
HNRNPA3,heterogeneous nuclear ribonucleoprotein A3,down,NA
ALKBH7,alkB homolog 7,up,NA
ETFRF1,electron transfer flavoprotein regulatory factor 1,down,NA
JARID2,jumonji and AT-rich interaction domain containing 2,down,NA
NDRG1,N-myc downstream regulated 1,down,NA
LYST,lysosomal trafficking regulator,down,NA
RIT1,Ras like without CAAX 1,down,NA
CEP162,centrosomal protein 162,down,NA
GNB2,G protein subunit beta 2,up,NA
TMEM70,transmembrane protein 70,down,NA
NIN,ninein,down,NA
UBL3,ubiquitin like 3,down,NA
ISG15,ISG15 ubiquitin like modifier,up,NA
LURAP1L,leucine rich adaptor protein 1 like,down,NA
PHF1,PHD finger protein 1,up,NA
NEURL3,neuralized E3 ubiquitin protein ligase 3,down,NA
LYPLAL1,lysophospholipase like 1,down,NA
SRM,spermidine synthase,up,NA
BTBD3,BTB domain containing 3,down,NA
LYPLA2,lysophospholipase 2,up,NA
R3HDM1,R3H domain containing 1,down,NA
ERCC1,"ERCC excision repair 1, endonuclease non-catalytic subunit",up,NA
UBE2M,ubiquitin conjugating enzyme E2 M,up,NA
PHEX,phosphate regulating endopeptidase homolog X-linked,down,NA
HLA-DQB1,"major histocompatibility complex, class II, DQ beta 1",down,NA
TMEM150C,transmembrane protein 150C,down,NA
HIST3H2A,histone cluster 3 H2A,up,NA
ATP13A5,ATPase 13A5,down,NA
ADIPOR2,adiponectin receptor 2,up,NA
ZNF33A,zinc finger protein 33A,down,NA
CAST,calpastatin,down,NA
BIRC2,baculoviral IAP repeat containing 2,down,NA
CKB,creatine kinase B,up,NA
HMGN5,high mobility group nucleosome binding domain 5,down,NA
LOXL3,lysyl oxidase like 3,up,NA
BET1,Bet1 golgi vesicular membrane trafficking protein,down,NA
PAN3,poly(A) specific ribonuclease subunit PAN3,down,NA
MMD,monocyte to macrophage differentiation associated,down,NA
KIAA1143,KIAA1143,down,NA
APCDD1L,APC down-regulated 1 like,down,NA
ITPRID2,ITPR interacting domain containing 2,down,NA
KLHDC3,kelch domain containing 3,up,NA
HIST1H4I,histone cluster 1 H4 family member i,down,NA
SPC25,SPC25 component of NDC80 kinetochore complex,down,NA
PIGQ,phosphatidylinositol glycan anchor biosynthesis class Q,up,NA
ROPN1L,rhophilin associated tail protein 1 like,up,NA
SLFN14,schlafen family member 14,down,NA
